,id,name,overall_review,overall_score
0,105600,Terraria,Overwhelmingly Positive,9
1,570,Dota 2,Very Positive,8
2,252950,Rocket League,Very Positive,8
3,391540,Undertale,Overwhelmingly Positive,9
4,252490,Rust,Mostly Positive,6
5,550,Left 4 Dead 2,Overwhelmingly Positive,9
6,230410,Warframe,Very Positive,8
7,620,Portal 2,Overwhelmingly Positive,9
8,218620,PAYDAY 2,Mixed,5
9,211820,Starbound,Positive,7
10,221020,Towns,Mostly Negative,4
11,247730,Nether,Mixed,5
12,360430,Mafia III: Definitive Edition,Very Negative,2
13,2870,X Rebirth,Mostly Negative,4
14,246090,Spacebase DF-9,Overwhelmingly Negative,1
15,346110,ARK: Survival Evolved,Mixed,5
16,377160,Fallout 4,Mostly Negative,4
17,232810,Godus,Mostly Negative,4
